TrendID,ProductGroupID,TrendDescription,TrendDate,SalesIncreasePercentage,CustomerInterestLevel,CompetitorAnalysis,SeasonalEffect,MarketShareChange,Region,MarketingCampaignImpact
e77b445d-a90a-4441-ad59-2d97ae405429,99d3ff62-4e45-40a5-ae8c-0f6bdcf3e268,Red risk discover main service choice else party activity.,2023-10-23,15.42,Low,Buy look message series play list natural federal whatever always meeting short moment.,Moderate,-0.26,Norway,Neutral
87bde3b0-cd28-4689-92b1-30ca858a8d2c,5061f459-3088-4146-926a-d9b19c0138b5,Bad teacher decide image girl change hear left service around.,2021-09-08,2.51,High,Reflect help hour name happen rise there east record prevent effort test.,Moderate,-1.88,Colombia,Negative
0f432e94-76ba-43df-98fb-9cde74172486,08d3f02b-19d6-4c90-8e67-92408ca77ab7,Direction speak may scientist Mr skin hold born allow city.,2022-03-01,16.23,Medium,Expect you trip change particularly information.,High,-5.0,Uruguay,Neutral
e4eaceda-9d56-43af-b33b-9c169b4c865f,fedce787-aebc-4b18-ba5c-d3305095b042,Nice writer fact family behind brother entire now easy sure land near forget memory.,2021-03-19,4.54,High,Bill quite water build everybody group respond speech indicate.,Moderate,3.59,Turkey,Neutral
5e19bf45-2ffd-4f6a-b86b-f1f9dbee6ed5,9c12b4b6-8eb4-4d4f-99af-216ff325e553,Middle moment identify bit future eye keep half occur stop see take.,2023-02-14,1.12,High,Clearly him make just personal play thank fact notice eight.,Low,3.34,Turks and Caicos Islands,Positive
1c9156cd-09b6-4064-9328-c3a714d0ed3e,31fab66b-c1e1-4cfc-8f84-ff058d62e383,His police training water door interesting event local skin Mrs available.,2020-05-23,4.35,Low,Avoid face purpose final imagine of.,Low,-3.73,Montserrat,Positive
e3a32715-1163-4ab9-b36d-33529ac78424,baf21d46-3b52-4a83-b086-7939d7d64e1f,Us one heart tree white field popular responsibility compare.,2020-11-25,3.98,Medium,Person small hair simply she maybe responsibility.,High,1.14,Mozambique,Positive
047bd96e-51a4-4916-9bbf-15969bf4a311,6a163aed-e1e8-4da6-be6c-3e2424da585e,Room chair name same less manage act these consider its low behavior some become across huge.,2024-03-13,10.12,Low,Still experience little respond allow foot share thus deep.,High,1.69,South Africa,Positive
56bd51e2-99e7-4afd-b6d3-8b4088e435b9,f8c54524-ddd4-4ca7-8ded-f37628cc1aae,Car at too back cold serious manage some appear direction who heart green test investment.,2023-05-19,6.64,Medium,Who natural case attack degree through that long through spend.,None,3.3,Saint Martin,Neutral
a798d0c4-d236-46c8-b913-29f250ae7936,dd968a0c-66ac-4e39-a315-1662e0fac590,Shoulder throughout popular gun green present theory indeed.,2020-04-04,17.79,Low,Hot identify difficult detail start also scientist protect commercial challenge clear stay.,None,-3.61,United Arab Emirates,Positive
e38b8aa4-4ef8-487f-b988-d516cc9d2c42,cc67f005-10a2-430d-bcdc-cc434163ffe2,Way heart individual save medical approach ago.,2022-12-05,5.24,Medium,Test tough over serious fill Republican conference high.,High,2.22,Cote d'Ivoire,Positive
11dbe6f4-fa34-4015-9ad7-ba993bd4a260,7ff3154c-8d91-4f0f-bc05-9a78d7744b78,Production black couple participant outside inside bar avoid arrive.,2021-09-07,18.74,Low,Action challenge sort task east art.,None,4.28,Lesotho,Positive
af4fe011-bd35-4757-b4c5-366dc521685e,e2f8c5cb-d3b0-482d-9dbc-e79a63290ed3,Garden garden nearly chance ability develop official might person identify science school.,2021-07-10,17.33,High,General professional himself build enter wait.,Low,-0.23,Macao,Neutral
cfd391db-6709-4516-9b79-bd88170442ad,1b89fe09-858d-4daf-badf-bcd570695014,Good full power yes fact keep best college customer act miss our.,2021-06-19,11.84,Low,Nor all real own fly hair.,Moderate,-2.62,Ukraine,Neutral
fda3f90c-0d10-40cb-9fdb-3bf59dd7f7cb,bbb5c762-3ba7-40c2-9390-70251914255c,Ready blood be million gun agreement heavy hot gas management just receive particularly.,2020-03-09,12.07,Low,Republican she brother generation term age may eight step produce mention surface.,High,2.77,Benin,Positive
86335074-21bd-4800-b572-ce82d5a9e071,482815b4-8a6f-413a-aff3-e66ecf77df73,Kid service turn all goal story for second sit understand.,2022-12-13,17.1,Low,Generation bad say standard them industry policy former there call.,Low,-3.46,Svalbard & Jan Mayen Islands,Positive
a9637e3d-7178-4dab-a8e5-c81caba75724,19c0e20e-f19b-42a9-b703-478be36a9d1d,Agreement bag learn nothing by piece likely let executive none knowledge security smile safe.,2022-10-22,16.11,Low,Collection choose carry after create push cost mission clearly radio work.,Low,0.74,Saudi Arabia,Negative
9d215808-a518-48f9-88eb-19ccbbd82b1f,cf229361-a017-41bd-bd5e-8465ba2b39f9,Good give long three occur result such size.,2022-11-16,8.02,Low,Not southern strong teacher ago finish huge.,Low,-4.35,Ecuador,Positive
560fee0e-6d88-427a-a062-ca8b36333faa,0ec1bbb6-1cd6-4714-b84f-f054a27e4c43,Save once involve even PM head job let any fast boy ability data hope citizen.,2020-11-29,10.54,High,Start audience somebody magazine act adult recent old.,Low,2.05,Bolivia,Negative
a0124fa9-c835-4151-bf75-aa190e60b5c9,0cbbcd0a-3260-407c-bc49-f4d93706b821,Into toward art effort majority need give role with eat arrive easy range off let.,2023-02-07,10.97,High,General forget occur very build class commercial create practice represent set.,Moderate,-2.19,Spain,Neutral
9a162325-f465-4480-b93e-9420d13a518a,6eb213e1-5862-46f5-a9a1-aaa1c5778e29,None seat bar three ready learn brother him some customer sound operation guess bit.,2020-10-08,10.64,Medium,Institution those station senior ball probably out generation traditional for.,None,-0.07,El Salvador,Neutral
2263ba95-d2d4-403c-b26b-0998e9e0e00f,c7bc8e00-3edf-4dae-94cc-2031148f2370,Cultural major some significant appear report current rest magazine which part great rule memory season.,2021-09-07,18.17,High,Significant wall forward subject morning happen treatment thousand why necessary house responsibility loss strong.,None,-0.79,Grenada,Neutral
19855428-faba-4105-86f4-44e49251789c,70d62cae-98f1-4122-bba6-ce0fdc05d17e,Company break person discussion form water fish bill while figure food expert bill.,2022-06-29,2.35,Medium,Old side government return want we it prevent would focus can worry.,High,-2.25,Cuba,Negative
299d533d-77b8-4d64-a028-d05b443362e6,adfca89b-4f94-4da9-9b0e-e97e5302a0c1,Coach choice four for newspaper food short.,2022-08-29,14.39,Low,Raise public ready step nature national per image edge respond effect with.,Moderate,-3.03,Mali,Neutral
c6bbe1ee-1447-43f3-bc90-ab8343fdf7c5,6f233d51-a988-46c7-b032-9657d828f731,Cup view like decade simple base much letter there people ball you.,2021-02-26,17.99,Medium,Mr everybody teach drug TV agreement.,Low,2.87,Netherlands Antilles,Positive
9f153c4d-4f49-4330-9f0a-5b8f7d697fb9,48df3fdc-4089-4fda-acc7-f1627acdf7b8,Piece hour show water full thank spend not billion current section should material.,2021-11-02,11.82,Medium,To our market specific writer bring.,High,0.88,Bulgaria,Negative
731f9448-e9df-4dde-836f-e833abab6c48,6fcef889-adc2-44fd-bb93-b05f43f9cf82,Pay keep national near feel hard cause candidate case road relate.,2023-07-10,16.62,Medium,Child candidate respond sign during line front onto.,Moderate,0.3,Australia,Positive
5a468d99-96a7-4121-a070-ec809ceb08c7,4c7ec8c1-2589-4e27-9c52-571cb2e6d292,Down investment I degree amount operation wall trouble approach certainly officer.,2024-03-16,18.01,High,Blue decision others Mrs commercial seat scene grow center high wonder.,None,-1.49,Sri Lanka,Neutral
49d2298c-201e-4b3f-8c48-a8ce94996cd0,557d5d11-0d29-4a12-a9eb-4b23f3dc2dc3,Why summer suffer machine person next husband nature happy air be operation picture able.,2022-03-28,10.48,Low,Analysis others what any push role travel full evidence.,Moderate,2.26,Libyan Arab Jamahiriya,Neutral
a86fc5ee-6ef6-49f2-a7e6-738b0c8cd7f9,eeb1b652-801a-417b-94ac-b9fa755e36e5,Age wrong head organization table too training.,2021-11-03,17.87,High,Happen part forward reveal result month suffer shoulder money simply style economic.,None,-1.83,Jersey,Negative
7833f79a-5b8d-43e0-82b2-2f8fd0ae461d,20c0213d-c551-4721-abdc-6d7fc42e0b19,Today free describe year sport training performance already.,2022-09-18,8.32,High,Every eat last wall tonight until sense organization safe glass walk social.,High,-2.65,Honduras,Positive
51dc97f5-494f-44b7-b707-677dd262fc98,89d6d592-e7c7-4688-a0af-0945dfbaf614,Peace I through contain its determine western cell buy month may bar meeting last experience hope.,2021-02-20,8.88,High,Picture billion contain six no foreign agency operation.,High,-2.11,Ethiopia,Neutral
7d5cf625-9807-42b4-b57c-092f09483c3c,52b1a128-0496-4427-a498-7f3698ef15c2,Crime operation at budget hospital address surface rate control time opportunity term represent light current Congress.,2024-01-22,3.71,High,Improve business politics serious hit be.,None,0.51,Romania,Positive
d4bff005-3ed2-42fd-adae-c43a3cf093f7,985939b7-26a0-45a2-af0c-9bc549eacbf4,At story resource would north wrong argue bring treatment open me marriage political.,2023-10-18,18.0,Medium,Key work now game write summer exactly myself hair.,Low,-2.98,Cambodia,Neutral
c11c21d5-c7ca-4613-af54-6e34b7f6b6d4,b59e9e7c-3756-4856-b71b-625e33bb8365,Key describe majority send number fact executive challenge me oil method stage.,2022-12-04,3.66,High,Positive artist well join support training watch either stay.,Moderate,-3.91,Armenia,Positive
3ae82c6b-393f-46a9-81b8-75d8035fcd29,e9f863ed-446b-43be-9930-c6f5d9e1ec39,Rate statement word music drop safe reveal everyone player.,2022-05-23,18.95,Medium,Claim democratic often light reach teach new lose.,Low,2.89,Venezuela,Positive
65e48295-4b76-47c8-a995-9df8c14de196,dca981e2-f735-4b66-a9c8-bf63fc251d24,Pattern writer long popular think I drive start exist among cause grow message.,2021-03-29,3.66,High,Every bed strong media or although office size bit.,Moderate,-0.87,Algeria,Positive
0d34a408-e4a5-400b-bbe8-b70207d4626d,4ee58c66-9393-49dd-84d5-69d0555d7ce2,You pattern free stage easy everyone listen responsibility least shake approach treatment.,2023-11-30,10.09,Low,Success ten simple program of hundred single though.,Moderate,-1.21,Indonesia,Neutral
0cf533c0-381c-471e-8ea7-1265e3095149,341f642d-a147-4f57-b263-750b0fa07a52,Many management change either agree let church go third.,2022-10-17,9.95,Medium,Bar then start week of nothing president probably quality include.,Moderate,-4.6,Finland,Positive
3793991c-6606-4cc3-af27-5cc2428aa240,426a8904-068e-4b7e-890c-ec34dbb0d12f,Loss night reality whole build bar never news nearly.,2023-08-14,15.51,Low,Conference push word computer measure speech nice happy yes research big win modern.,Moderate,-0.56,Guernsey,Neutral
fc6d8fd4-7f11-48b0-a08b-478a3dc20a85,51c7574e-802c-43d1-a611-34490caa3cb0,Than medical theory suggest national indicate her life appear too last.,2021-08-05,10.78,Low,Suddenly body short range certainly full throw method stay such time both.,Moderate,1.24,Ireland,Neutral
baec866c-1310-4eac-b15f-5029b4f12016,809eb4ec-9a63-49d3-803d-d81992369081,Teacher society people campaign customer think window parent drive far standard.,2024-06-07,18.03,Low,Brother market level media research cell training meet huge can.,Low,-1.55,Mozambique,Neutral
d35db736-ff84-4605-a476-5de090a69e7a,5a2e71fd-2ead-4b86-8e99-93b8eef1fdfb,Trip give watch against sign which positive city light then lay best exist.,2024-06-08,17.21,High,Avoid value add support wall become different it last relate quickly loss let.,Low,-2.42,Nepal,Neutral
3f8deff9-9689-46aa-a6ab-c797df911721,52703c4c-529c-4b00-abad-aa396801563d,Travel financial visit close other assume work real person beautiful indeed study situation need.,2024-01-27,11.47,Low,Usually keep since want five walk language leg executive build response but.,High,1.06,Vietnam,Positive
9fee93d7-9287-4908-849d-60fae0a16b00,a59e66a2-b8ae-4803-8c7e-a843700bd7ba,Worker listen board today least few defense buy my.,2021-06-21,6.06,Low,Indeed a arm evidence at security skin new.,Low,3.13,Sudan,Positive
8f4abb1d-a63d-4861-a01c-a0511c5fec65,f42dd957-e8b5-42cb-9b42-f0aee0fc948d,Message wish model international send class audience everybody in president buy.,2020-09-17,3.38,Medium,Central small military position language draw most more small have pick all.,Moderate,-0.83,Saint Kitts and Nevis,Positive
4de565e2-b5fd-48c7-adae-033ebd4f12eb,57c9cf83-c138-4f0f-9664-f6120073884b,Response still identify decision happen study something during.,2022-04-21,8.11,Low,Your maybe Congress growth best trouble less western dinner perform left when environmental.,Moderate,-4.16,Vanuatu,Positive
e30dfc88-7167-4aa0-8145-6a81378bc740,cf7f4ce1-ee1d-4d4a-8f11-89c82873d5ef,Produce still dark on teach significant only be.,2022-03-10,1.35,Medium,Method increase close environment thus leg PM social to home price.,Moderate,-0.6,Morocco,Neutral
50f0cf5f-4944-405d-999f-39caef0251d8,4f2ea616-d4ea-4420-ae15-429370bf8a9e,Message skin garden place third win pattern occur together development population carry student.,2022-09-19,12.55,High,House enough little fear plant allow partner get property produce authority.,None,-4.95,Liechtenstein,Neutral
eaeb40a0-aedb-4c7d-8fe0-0918b6c36425,017ac82a-6734-4031-89b7-0f7f893149f3,Brother risk almost seem with institution artist away newspaper tree.,2022-02-24,17.35,High,Technology use might role say painting admit hand again listen.,None,1.78,Guyana,Neutral
10202104-22c1-4dfa-94cf-a28b28342f0f,48a0f67c-77bd-42a1-8064-096e8aecc48b,Sea laugh current difficult center well once scene beyond.,2021-07-14,8.06,Low,Left page both long become get agreement plant ok floor out west call.,Moderate,0.68,Dominican Republic,Positive
2343765c-9d22-4345-aa1c-a5fc9d5ecf5a,245b0524-ecc6-422b-ad0a-f0a720f105c4,Understand support hair play public end personal.,2023-07-15,18.53,High,Mouth show person whether power order.,High,0.46,Tuvalu,Negative
985f5efb-a49a-45d3-8a43-656d4b58a2bd,9929ae7d-0ab0-412d-82fb-62df9dc7c6e2,Scientist second certainly them politics performance miss budget.,2024-06-03,17.87,Low,Health person maintain from authority with same approach newspaper one clearly radio.,Moderate,0.65,British Virgin Islands,Negative
327a4e19-b05e-48f5-8fd1-b8579fd3283f,168b3857-2f06-4486-8867-4690f6730e97,Yard yeah call wide view forward food throw head.,2020-03-29,3.06,Medium,So see event see ask choice artist.,Moderate,-4.24,Moldova,Positive
dc09ac60-f332-44c6-9a13-ad74f9df8cae,17e2f979-50da-4ee7-b998-5a78b452bf84,Employee site including service say form law expert.,2021-03-07,18.2,Medium,Citizen just life decide upon necessary value character begin.,High,2.3,Bahamas,Positive
6adcd744-5b75-4c5c-af0c-3b39aa2f9410,e4e05bf7-8842-4721-9362-aad8428db8ff,Team yes power agreement room next side thousand tend one.,2023-05-01,1.19,High,Hour these turn capital sometimes different probably.,Moderate,-2.59,Benin,Negative
b8cd19e2-80d1-407e-877f-c9704712a655,783a4e53-ce77-4194-b03b-8b355bfa4382,Pretty top exactly risk difficult travel difficult age field sister over difficult skin watch become.,2023-05-17,1.26,High,Candidate entire green others material effect message no.,High,-1.82,United States of America,Positive
f9507412-0cbf-4a3b-b878-3b372e544569,f30b1d41-7115-4314-99d5-21546f5a170a,City such coach ok by my individual war shoulder radio collection during ground between someone dark.,2022-06-08,18.8,Low,Cause common keep someone reason me summer best resource theory traditional thank.,None,3.62,Somalia,Neutral
9bb72292-45fe-49f4-b8b7-fd6c2d60caea,b9d5af1a-64e9-47bc-b120-1259f33bf08f,Church especially try thousand service offer light increase young budget.,2020-01-12,10.84,High,Include plan decide third contain rule include.,Low,3.05,Aruba,Positive
149193fd-4ac0-4c0e-b0c9-5699d15571cc,8574a893-f636-4c5e-8369-a6f4d62befdf,Network dark wear trade interview because start.,2021-02-27,10.38,Low,Beat win discuss maintain identify think.,Moderate,4.79,Bosnia and Herzegovina,Neutral
87e8aaf8-e784-428c-aa8c-9c0ed0a9bf03,0f3d415a-a7c1-4b29-80c5-1144dc2eb6b5,Send home against other impact design nice official marriage environment write space mean case.,2024-01-04,2.33,High,Cost until sell positive you it tax reduce.,None,1.59,Netherlands Antilles,Negative
1199b5d3-134a-4ce5-addb-12137bc04eca,152dcf4a-a044-41f7-b4ed-ebc73e4aa711,Matter cut computer series never goal region gas protect authority behavior both participant pass good.,2020-03-20,10.08,Medium,Evening itself hour direction rise work.,Moderate,2.47,Norfolk Island,Positive
a8eb4749-ee6a-4d9a-bb26-0e08bdcef420,6b991460-ec4c-41cd-8c37-308e87cf3f6f,Contain significant strong production age recently suffer company bag action loss particular once executive heavy statement.,2020-07-07,13.69,Medium,Have recent writer how serious girl realize whose citizen edge.,Moderate,3.51,Morocco,Negative
a7f9e14a-5359-4dc3-ac64-cf2eb049919b,ff8761dc-1643-4bd5-933e-46cf3c4f5f79,Husband deep research many century low pull again ground page safe writer mind.,2021-10-24,14.44,High,Population size type situation room vote billion clear animal test ability.,High,4.76,France,Negative
87067381-51fd-465d-bbbb-c95684a4f1ee,5ea82570-a69b-44a6-bb3f-db875866e5b3,Fall forget voice foreign full inside scene base lawyer realize middle.,2021-10-12,2.7,High,Bank speak behind clear success agent author.,Low,4.05,Italy,Neutral
d40a9398-dd41-437e-a962-d7a17f7ea4b2,63a3845b-a707-43e4-8802-8f4b220d2233,Race about mind until campaign cause whatever successful six.,2021-07-11,15.84,Medium,Nearly help any boy machine factor institution industry learn wrong teach.,None,-0.11,Saint Barthelemy,Negative
cf5d26a7-f1ed-4023-be7b-123e4a7bf43e,3d9c1389-4123-496d-9118-6087e7e080cd,However however now this which range treat.,2023-07-13,15.69,High,Compare Mrs social building recognize environment day detail it state north very.,Low,3.61,Mongolia,Negative
7926287a-b098-4af8-b0db-e89cb9dbc8e8,43f9b269-9866-4a08-82f6-f81e01aa14b3,Will remember pay time network no court thing fire spring watch fill Mr social computer culture.,2023-06-04,17.58,Medium,Probably doctor health dream area another move couple.,Low,2.34,Russian Federation,Positive
c49f998b-11c3-41a9-b25f-71892764828a,5cf5bbbf-34f6-46c0-b1d2-6dd59a880513,Drug him employee create garden race partner huge develop father area able more.,2021-03-24,4.84,High,Better build best theory trial but.,Low,-0.11,Antigua and Barbuda,Positive
d30f8777-9cef-4363-bea5-c3e5edbe99aa,38eeab08-c37c-4604-896d-3557fd1ae91e,Mr kind million section station movie spend concern town important.,2021-12-21,10.9,Medium,Similar enter entire themselves night role mention.,None,-4.88,Netherlands Antilles,Neutral
c9b9f1bf-e0b9-4393-bb47-07ecb7bd2f25,803e7a21-5665-4084-9043-15958467d123,Prove reach effect its piece continue respond him next prepare community Mrs source region suffer.,2022-09-27,16.6,Low,People late job stand position strong wind.,None,-2.82,Gabon,Neutral
e53707be-d303-40a8-b847-a6db164298b9,09b998db-0dcc-4a7e-bd40-77ee9c405bfb,Enter wear around trial purpose operation rate security industry possible.,2021-03-31,13.49,Low,Strategy situation teach second side top product base.,Moderate,0.17,Saint Barthelemy,Neutral
c649fc74-adae-41db-a4c8-51d29ce6d70b,d49e81f0-6a81-48df-9c42-2a527ed612c0,Idea international south by political then score forward.,2022-08-30,15.77,Low,At theory culture room government field know today care.,Low,-1.25,Haiti,Neutral
28c0935f-f8d0-490f-a480-2f6a885cae5d,f1d1509a-24d4-4ae9-a77c-0228d2f10ca3,Week investment oil my else safe clear film political light behavior product hundred home just air.,2022-05-19,4.32,Low,Walk authority budget nearly different fire Mrs interview home during.,None,-3.4,Sweden,Positive
e2e89753-8202-402e-9ad1-73f2dd27adfb,17da6b82-b196-4c43-9408-cd055acb920a,Four character bed nature least nothing nothing everyone suffer.,2020-01-23,5.33,High,Movie perhaps us great low discussion history gun.,Moderate,-1.32,Anguilla,Neutral
26b911e5-adcb-400b-af66-74db267e1d20,85f23163-9589-43e5-99a6-b61cf543e83c,Fly indeed which foot player sound fast yard join most claim.,2022-01-02,3.4,Medium,Project myself west white current believe argue cultural anything clearly difficult across explain.,Low,-0.11,Wallis and Futuna,Neutral
0733182e-7253-424b-b2d5-525e9c13b8e4,bd191394-60f3-4cc8-8e1a-bf626831b87a,Personal education toward suffer so treat me write voice wife money name leg.,2023-03-06,7.64,Low,Class board apply ago religious partner decide it.,Moderate,1.85,Kazakhstan,Positive
21beff63-0fe4-48b9-b64c-66a73260da0f,7e2d720b-eccc-4b9a-b23b-dba870ef366d,Own place social deep third others century pattern behind option.,2024-06-20,19.93,High,South student plant theory still then trade foreign shake.,Low,-4.89,Cuba,Neutral
7ca602da-6a37-46d9-9a67-0b23346bf375,38511c21-9d69-4ce2-a926-6ce8ac0f7326,Concern to personal any student practice seven success simple.,2021-04-16,11.05,High,Nearly born trial fire particularly store candidate day whom medical.,Moderate,4.16,Djibouti,Positive
d5228efa-7e17-493d-825e-a3bf735e5ecd,3dc869c1-abb8-4c80-9e1c-b79c58ccc834,Simply their let level baby suffer money yourself since toward window event research.,2023-11-05,5.39,High,Chair too include knowledge too treatment center him interest look any hear rise idea.,None,4.25,Antigua and Barbuda,Negative
aa047e40-8c2e-48e3-860b-9c9bf8231ac7,c2b29abf-1e66-4315-b8ec-a7fcafe76a3e,Unit sing reduce him break wrong best few.,2022-02-11,5.46,Low,Century someone debate miss view mind let yeah body every budget.,High,-1.79,Syrian Arab Republic,Neutral
28180b89-92d4-4a30-ba47-ab8edcf053a5,434b3a3a-f41d-4762-85b0-3fb3bea850b7,Send as ever seven toward particularly tonight both like old.,2023-04-17,6.68,Low,They model three one minute time us field relationship.,Low,4.55,Reunion,Neutral
cb70a021-a9e1-4a0c-ab52-03e777eb56f6,b04ca3f0-984e-4f75-ade2-91f95398f93c,Less far reach fear question coach leader drug family reality.,2022-06-13,15.97,Medium,Natural set let back result modern result put actually.,Low,-0.28,Palau,Negative
7bf0522c-a242-48fe-8609-2374d5d342c1,900ea1b7-7915-4331-9174-996d6b00a1b2,Owner firm foreign chance truth best energy use some above.,2022-04-24,8.26,High,Onto large upon company case nice line despite story how country.,None,1.71,Guyana,Positive
dfea6d98-d976-42a5-a82a-bba4d41c0446,3cfbd635-9af2-47dc-985b-6d907bc9c931,Suffer score sister project themselves economic focus.,2020-11-30,5.18,Medium,Control author open character public thousand fast capital professor.,Low,1.07,Guyana,Positive
14803aa5-1409-4412-9696-0537aa21851a,a07cf823-2e0d-47ef-ac5e-c33672b6b384,Society live need determine word finally whom trade individual moment shake power.,2020-08-29,16.94,Medium,Find news air couple receive low nature reduce with be fall kitchen organization.,None,2.53,Montenegro,Negative
6dd8090b-f2db-4bd8-abb6-5259df1d5325,59e04a98-a9f2-4c2e-9a81-202547e7728c,Into interest what clear you pretty artist tell window reason relate face debate glass music.,2024-01-07,15.31,High,Picture pay among know bring special Democrat kid before consumer.,High,-2.62,Saudi Arabia,Neutral
aea8de09-a20c-4a3c-b9e5-d5d66f250e9e,1d40ef50-3f35-422e-adb3-1a1c096f0d12,Image maybe past live onto yet election federal ten defense government night third city just dream.,2023-05-22,14.78,Low,Tonight seven each thousand year floor become include exactly.,High,-3.46,Gibraltar,Positive
e59ec831-9fae-4fd5-91a0-ae8c6f75e82d,682fe478-7c82-4625-9955-59667e21a17d,Throughout less page next lawyer tax father else town party chance product.,2021-10-12,16.95,Low,Worker toward mention picture instead accept trial put such attorney do majority.,Low,-0.28,Bhutan,Negative
58be9e2b-8982-4852-9a8a-a36983b1aac2,eddbce4a-210c-41bd-97ef-355c6c06101f,South wait group travel physical court pattern.,2021-06-28,13.75,High,Rich spend myself later ahead probably many deal challenge.,None,1.65,Belarus,Positive
