ProductID,ProductName,ProductGroupID,Price,StockQuantity,Description,Manufacturer,WarrantyPeriod,ReleaseDate,Length,Width,Height,Weight,Color
4428ce81-e67d-445d-9ee2-d12e0cf5c5c8,Take Smartwatch,560dc80f-d94e-4e7e-b495-52beb23a1490,1365.91,381,Side player mouth free rate policy finally market more late as low gas.,"Pruitt, Medina and Martinez",1 year,2024-02-14,14.02,24.18,6.45,0.63,Gold
28481208-6f08-42cf-95aa-2dac75ac2304,Population Smartwatch,541c7b5d-5de8-4a51-8955-f7b837fdb8e1,439.1,243,Especially throw car ten rise day.,Medina and Sons,2 years,2020-12-30,24.83,33.94,3.53,1.71,Blue
46cf26ac-9cca-4e40-818c-a39a8ee14564,Good Smartphone,af92eff3-9636-47a5-82e5-33d803c4fb0d,1677.85,196,Nothing provide collection how argue radio environmental behavior show world among physical.,"Smith, Martinez and Williams",2 years,2020-04-15,28.08,43.26,1.45,1.56,White
41c110ba-f6d1-489a-be0f-d05eb2589558,Affect Laptop,1219954c-62be-4219-b2a4-f2b53e257606,1371.05,375,With cover far try final many.,"Smith, Figueroa and Mullins",6 months,2020-09-05,11.93,42.88,3.01,1.44,White
65cb741f-cf8c-4050-9d7f-d7d8779508d8,View Laptop,6a9c586b-849c-4113-88be-7341350fc5b0,437.29,4,American history knowledge avoid man speech head upon pretty along.,Garcia-Hanna,1 year,2020-12-24,20.43,15.93,6.19,1.61,Black
346af680-aa75-42b8-ade7-11c93e6a1744,Lay Camera,3d3cee29-c46e-4d0a-bd02-c9af3487ac2e,556.16,492,Special color be avoid size in blood today everyone particular assume value.,Doyle LLC,2 years,2024-01-02,31.35,36.37,8.61,4.21,White
7e5c11a7-f9d3-41a4-b957-f2d6fe1ed729,New Camera,5a07a774-4af7-4398-ac62-19b7972cc561,193.97,363,Despite would over take security meet financial purpose certain indicate fact even.,Wilson and Sons,6 months,2024-02-21,32.23,40.44,7.58,3.79,Black
9e683d1e-3e7e-48a4-856b-d10762341235,Despite Camera,995b4ff1-73ff-44af-b766-c17563c42271,1241.16,67,A Mr heart provide mind debate hand tax.,"Barnes, Miller and Shannon",2 years,2020-09-08,32.9,23.1,7.25,2.39,Blue
0c0b3566-0f81-414a-9c52-d89c37c0d456,Knowledge Smartwatch,ed1951db-89c9-4b69-a887-7401c7ef5bdf,1395.28,282,Audience process civil yard daughter spring hair police service fast learn successful.,"Hill, Hall and Ward",2 years,2022-12-01,44.55,40.97,1.02,0.85,Blue
b8997497-e000-4eb3-877f-6cf85263a31f,Stage Tablet,00f49825-aaf9-49ce-94df-32318ee1366d,666.27,59,Fall direction summer career fill somebody moment.,Carter-Curtis,6 months,2021-09-17,15.14,45.11,9.88,1.19,Black
d5e9e9f7-f855-4785-b5ba-c34da445b103,Land Camera,a4e2641d-65d2-4c95-b89f-019dc7917671,1213.73,54,Writer action film bit fine president them deep sit article bed minute.,"Wilson, Hopkins and Little",6 months,2020-08-10,18.85,12.03,9.99,4.18,Gold
bb8dc835-2963-4516-9902-4a812daf6f37,Minute Camera,ca7a4dba-753e-4b80-98ad-fabf65de427a,578.39,438,Time again director foreign get require other leader although factor yet many.,Lewis Inc,1 year,2024-01-05,43.8,48.95,8.32,1.97,Black
995ccf38-ea91-498d-9c56-49becaf67b3f,Understand Laptop,03cf8198-6921-44d3-a6c8-d43f36edd7c7,1274.68,142,Congress vote mention paper impact professor defense.,"Scott, Mercado and Barnes",2 years,2023-07-22,17.55,40.18,2.87,0.92,Blue
fc34f5bf-42f0-4b1f-b4f0-5b71cb6118bb,Above Tablet,d07ff966-3614-4d7a-ad67-2e7b5d0d1cd5,452.94,388,Take easy again decade scene performance remember decade relationship computer.,"Reyes, Gonzalez and Benitez",1 year,2024-04-21,19.58,36.1,5.53,1.56,Black
3ec6b0b3-7eb8-4914-89a9-ca5f2fe5273e,According Laptop,aa6ecc63-a6a0-4f0c-aea4-da7569a9a6f9,278.62,488,Manage difference pressure relate part order his speak serve.,Mathews-Diaz,1 year,2021-11-05,23.15,38.72,2.46,4.8,Black
793ba4c9-ffd7-4bb1-8dac-3e140e89ad11,Majority Camera,1461cbbf-6bf4-4287-aa7c-363208c617fe,832.18,259,Try chance off who back else.,Miller Group,1 year,2021-11-28,25.45,26.59,4.96,2.52,Blue
6e3af568-39bf-4662-bcc1-afc3c83b5ab5,Sure Tablet,1b88b9b4-28b8-4ac5-9ee7-06f0ae652a8c,110.92,73,Word miss cost speak phone style point short become food energy low.,"Burnett, Salazar and Floyd",6 months,2023-08-01,40.54,18.6,2.18,0.68,Silver
cb886dae-5ac9-422d-8ead-dba121603a10,Never Laptop,bca718a0-e5e5-4fb2-9f84-99c439379a58,1814.26,280,Responsibility trouble add western floor federal.,Boyer Group,1 year,2023-08-11,25.87,49.9,2.89,3.55,White
6de9ab99-f0f9-438c-83a2-9dc78788ea6c,Camera Smartwatch,79b635f6-cc9b-4ce9-afd5-14431b1be86d,1731.53,211,Decision candidate spend others city begin meet until point.,Ward LLC,2 years,2023-03-11,41.92,29.4,5.47,4.95,Blue
4315b5ae-8268-496c-8128-82c558d9bbba,Those Tablet,754c3b8e-c114-4196-ab6a-ccf41430d0f2,1717.33,234,Thing modern machine lawyer whom eight level lot small reality.,Garcia-Underwood,1 year,2024-03-21,27.47,13.76,4.93,2.57,Black
896e8bfc-3c17-47b8-a2cb-c0290314d73d,Hand Camera,30a5d1cc-0e9a-45cb-b357-5d5a2d9581cb,956.14,70,Goal talk degree staff cultural game never fish.,"Nixon, Waller and Wallace",1 year,2020-09-19,29.94,42.54,8.41,2.41,Gold
42dd6aa0-dd7e-4e11-ba4f-17c1885f2ae8,Case Tablet,29b17308-1d0f-4dbd-a868-736d0465b433,1789.77,115,Always serious mind two fine ten development together performance.,"Marshall, Guzman and Flores",1 year,2021-04-25,42.88,39.62,9.16,2.54,Silver
1a0eec9f-ea1f-4a1c-b48c-1eebdd095d0f,Front Smartwatch,12088fb6-af2d-4d6d-860b-632ba6d7f505,1222.79,247,Nothing major election follow century camera can nature owner think head less.,"Meyers, Wagner and Gray",1 year,2021-11-28,11.99,23.89,1.21,1.64,Black
a8931755-b016-47c9-ad5f-9721bb33c435,Sea Camera,d5071ded-0250-42fb-91e0-d3ef7fbc03ef,1177.67,289,Pass no walk fire success position although.,Leblanc-Baker,2 years,2024-02-26,45.58,24.26,3.46,2.38,White
6e17effa-4bc4-42ef-a9a2-085587d61e96,Commercial Smartwatch,1ae50ae3-9cb2-4bda-8e7b-fb1c42d7d90b,216.04,255,Truth yard recent store increase popular common each body fear than.,Hoover-Orr,6 months,2022-01-29,23.64,10.17,7.54,1.44,White
73f8269b-1afb-498f-a4d0-46bc3f48e33f,Dark Camera,bbad42b7-93e4-423f-9d75-1d59604c8ed4,198.78,48,Save across none responsibility go do need sell heavy.,Powell Group,2 years,2020-07-02,46.38,38.79,7.59,3.54,Blue
16959737-2853-41cf-8089-af5c4331be26,Against Smartphone,8da5f52a-c8a9-4008-98e8-14efbcbe72e8,1951.81,277,Why effort game race several score make.,Palmer Group,1 year,2023-06-28,31.71,29.25,5.55,3.24,White
a7574324-57ee-4cdc-8ada-92ead5775585,Sort Tablet,f1a906fc-7235-4359-a01c-f493c4918bea,590.21,85,Industry market space term himself race head.,Stanton Group,6 months,2021-06-04,44.38,11.16,2.3,3.18,White
ea908eda-5e41-4a93-9613-cf16f29c27ba,North Tablet,35fc2bda-18ac-4021-b721-250737200102,1197.88,448,Staff understand test foot hot air course chair effort process window book.,Daniels-Bruce,1 year,2023-09-11,28.25,24.4,8.57,4.29,Gold
1c9a7691-4761-48d2-ae9d-d09930da6c88,And Smartwatch,a5b0776b-4732-451d-bfa6-42f9ccf5549d,933.57,212,Hundred later cost finish fine physical must south surface then hour store teacher.,Mcintosh Inc,1 year,2024-03-28,18.34,25.64,2.32,1.71,Gold
1127ba60-1c97-4169-93d6-45b876ae74e2,Material Camera,33fd1189-e35e-4be3-99e8-bde46d30184b,1035.01,53,Grow game bar fight customer soldier catch social glass thank difficult interview plan.,"Pugh, George and Jones",2 years,2023-06-06,17.0,35.97,4.41,2.23,Silver
e3d764f0-a429-4ace-a96f-ba658e6aaade,Sea Smartwatch,2b417d1d-03b4-423d-816e-8a3186891157,1895.13,104,Happy rich TV picture enter whether season ball green simply tough.,"Casey, Herman and Rodriguez",2 years,2022-10-27,45.22,22.78,2.47,2.27,White
628c4ad7-a0b4-40d9-8a6f-24a92a50bd44,Can Tablet,0ca0e35b-6924-4760-8463-aeb89fe5df30,704.88,440,Smile statement figure lay military carry church shoulder every create special decade current.,Jennings PLC,6 months,2021-05-01,43.47,23.88,3.05,1.93,White
f8a21ffa-e973-4391-a0a5-23132fb09a4f,Central Tablet,dfec85ac-172c-4956-8f33-8a56204f7061,1821.46,32,Three seek where full respond travel study western political bring.,Rowe LLC,2 years,2020-04-01,21.79,27.58,3.77,4.65,Blue
9f995912-8cf3-4a4a-a0fe-10eae23dd1ec,Note Smartwatch,9f35e33a-da1e-414d-a37c-61d5e4738c74,822.81,90,Stock task still help entire become support senior see front particularly herself.,"Williams, Cabrera and Rodriguez",1 year,2023-06-07,41.15,36.41,9.21,3.23,Gold
dda8dbe8-d321-40f2-bb8f-3efd9547566d,Detail Tablet,82998a42-99c7-4fc7-924b-a9390b565270,1037.66,459,Work sure wife share imagine cover whether kitchen.,Anderson-Hoffman,6 months,2023-04-16,44.02,49.63,5.43,1.1,White
9ae5e538-6c72-4570-a1f1-269e13dc4a92,Mention Tablet,d1ee1e08-fa80-45fa-9ffa-1ac65fabf5d7,1503.96,326,Account policy herself agent close consider off street type.,Shelton-Rodriguez,1 year,2021-10-09,22.47,12.81,7.59,3.95,Black
